,Unnamed: 0,carat,cut,color,clarity,depth,table,price,x,y,z
5138,5139,1.0,Premium,I,VS1,60.1,62.0,3763,6.5,6.47,3.9
22847,22848,1.26,Ideal,G,VVS2,60.9,57.0,10886,6.98,7.01,4.26
11754,11755,1.01,Very Good,F,SI1,62.4,60.0,5078,6.35,6.4,3.98
46591,46592,0.54,Premium,F,VS2,59.4,57.0,1786,5.35,5.29,3.16
3012,3013,0.82,Ideal,E,VS1,60.0,55.0,3306,6.18,6.08,3.68
22771,22772,1.7,Good,I,SI1,59.3,58.0,10796,7.72,7.77,4.59
11363,11364,1.1,Very Good,G,SI1,62.3,58.0,4997,6.55,6.61,4.1
7575,7576,0.92,Very Good,E,SI1,63.0,57.0,4254,6.17,6.21,3.9
18134,18135,1.0,Very Good,F,VS2,61.1,60.0,7343,6.4,6.46,3.93
42091,42092,0.7,Fair,E,I1,66.1,58.0,1273,5.61,5.51,3.67
32417,32418,0.41,Ideal,D,SI1,62.2,57.0,791,4.7,4.76,2.94
45712,45713,0.56,Premium,G,VS2,62.5,57.0,1698,5.28,5.25,3.29
7107,7108,0.92,Premium,D,SI2,62.4,58.0,4168,6.18,6.19,3.86
46802,46803,0.55,Ideal,H,VVS2,61.7,57.0,1806,5.28,5.26,3.25
48616,48617,0.54,Ideal,G,SI1,60.0,57.0,1999,5.31,5.36,3.2
43928,43929,0.3,Ideal,I,VVS2,62.1,56.0,515,4.29,4.31,2.67
44730,44731,0.56,Ideal,G,VS2,62.0,55.0,1616,5.28,5.33,3.29
26830,26831,2.01,Premium,H,SI1,60.6,62.0,16733,8.08,8.05,4.89
38833,38834,0.43,Ideal,E,VS2,62.8,56.0,1048,4.86,4.79,3.03
9302,9303,1.32,Good,J,SI1,63.5,57.0,4573,6.95,6.98,4.42
32297,32298,0.34,Ideal,E,SI2,62.4,54.0,454,4.49,4.52,2.81
36257,36258,0.34,Ideal,F,VVS1,62.9,56.0,935,4.45,4.48,2.81
34367,34368,0.41,Premium,F,VS2,61.3,58.0,863,4.79,4.84,2.95
52939,52940,0.7,Premium,E,SI1,62.5,61.0,2592,5.72,5.57,3.55
30611,30612,0.3,Good,D,SI2,63.4,56.0,447,4.26,4.29,2.71
9333,9334,0.9,Very Good,E,VS2,62.9,57.0,4580,6.16,6.18,3.88
49584,49585,1.04,Fair,F,I1,65.4,60.0,2134,6.39,6.3,4.15
43268,43269,0.3,Premium,I,SI1,60.5,62.0,506,4.37,4.33,2.63
45404,45405,0.51,Good,D,VS2,63.5,56.0,1668,5.04,5.1,3.22
35741,35742,0.3,Ideal,D,VS2,62.3,56.0,911,4.3,4.27,2.67
48440,48441,0.51,Premium,G,VVS2,61.5,56.0,1974,5.15,5.12,3.16
25374,25375,0.31,Ideal,E,VS2,60.7,57.0,642,4.39,4.41,2.67
1569,1570,0.91,Very Good,G,SI2,62.8,59.0,3006,6.09,6.14,3.84
31243,31244,0.31,Ideal,F,VS2,61.9,55.0,757,4.37,4.39,2.71
42523,42524,0.4,Premium,F,VVS1,60.2,59.0,1323,4.76,4.74,2.86
1715,1716,0.32,Premium,G,VS2,59.8,59.0,561,4.48,4.52,2.69
18997,18998,1.01,Premium,G,VVS2,61.9,59.0,7821,6.41,6.45,3.98
44821,44822,0.5,Premium,G,VS1,62.5,60.0,1624,5.06,5.08,3.17
43952,43953,0.31,Good,F,SI1,63.5,56.0,516,4.3,4.33,2.74
26264,26265,2.01,Fair,I,VS2,66.3,57.0,15729,7.79,7.74,5.15
52559,52560,0.7,Premium,G,VS1,61.4,59.0,2535,5.74,5.59,3.51
13096,13097,1.21,Premium,I,SI1,59.3,59.0,5421,6.98,6.95,4.13
34990,34991,0.34,Premium,D,VS2,59.3,59.0,881,4.59,4.55,2.71
1206,1207,0.76,Premium,E,SI1,58.3,62.0,2937,6.12,5.95,3.52
572,573,0.61,Ideal,F,VVS2,61.7,55.0,2833,5.45,5.48,3.37
47015,47016,0.56,Very Good,E,VS2,61.9,55.0,1819,5.25,5.31,3.27
45567,45568,0.52,Premium,G,VS1,61.2,60.0,1689,5.13,5.19,3.16
41893,41894,0.5,Good,E,SI1,61.8,62.0,1259,5.05,5.08,3.13
45656,45657,0.25,Very Good,E,VVS1,60.1,57.0,526,4.08,4.11,2.46
47631,47632,0.56,Ideal,H,VVS1,62.3,55.0,1882,5.3,5.26,3.29
18267,18268,1.53,Very Good,J,VS2,62.9,59.0,7418,7.31,7.34,4.61
11389,11390,0.34,Very Good,G,VS2,61.2,62.0,596,4.44,4.48,2.73
795,796,0.71,Very Good,F,VVS1,63.2,60.0,2862,5.65,5.61,3.56
40781,40782,0.43,Good,F,VS1,61.4,61.1,1167,4.85,4.87,2.98
2157,2158,0.75,Very Good,F,VS1,63.2,57.0,3129,5.78,5.74,3.64
5673,5674,1.02,Good,H,SI2,63.7,58.0,3884,6.28,6.24,3.99
51382,51383,0.71,Very Good,H,VS2,61.8,58.0,2368,5.66,5.7,3.51
34005,34006,0.42,Premium,H,VS1,61.7,59.0,847,4.76,4.83,2.96
39671,39672,0.42,Ideal,G,VS2,62.4,54.0,1087,4.83,4.78,3.0
22901,22902,1.5,Premium,F,SI1,61.9,60.0,10940,7.26,7.21,4.48
13302,13303,1.2,Ideal,E,SI2,61.1,55.0,5494,6.9,6.87,4.21
20535,20536,1.11,Ideal,G,VVS2,61.8,57.0,8858,6.67,6.64,4.11
29199,29200,0.33,Ideal,I,IF,61.6,55.0,694,4.46,4.47,2.75
37063,37064,0.43,Premium,F,VS2,59.8,58.0,968,4.94,4.89,2.94
5417,5418,1.05,Premium,J,VS1,62.7,61.0,3822,6.58,6.49,4.09
6445,6446,1.01,Good,G,SI2,59.2,65.0,4047,6.35,6.41,3.78
3417,3418,0.36,Good,H,VS2,63.7,55.0,568,4.49,4.52,2.87
40501,40502,0.42,Ideal,H,VVS1,62.4,55.0,1142,4.8,4.79,2.99
53825,53826,0.7,Very Good,F,VS2,61.7,63.0,2737,5.61,5.64,3.47
22238,22239,1.5,Premium,H,VS2,60.8,59.0,10291,7.34,7.36,4.47
24688,24689,2.01,Premium,I,SI2,58.2,61.0,13052,8.24,8.2,4.78
38002,38003,0.43,Premium,G,VS1,62.2,59.0,1008,4.84,4.81,3.0
36267,36268,0.3,Ideal,E,VS1,61.6,57.0,936,4.33,4.3,2.66
15508,15509,1.06,Good,G,VS2,63.1,59.0,6212,6.45,6.48,4.08
15139,15140,1.43,Fair,E,SI2,66.0,57.0,6086,7.02,7.0,4.63
16486,16487,1.29,Premium,H,SI1,61.6,57.0,6588,7.02,6.97,4.31
17355,17356,1.21,Premium,E,SI1,62.3,58.0,6963,6.77,6.74,4.21
43519,43520,0.59,Ideal,F,SI1,62.3,54.0,1424,5.37,5.41,3.36
21880,21881,1.5,Premium,G,SI1,62.9,55.0,9954,7.28,7.24,4.57
42461,42462,0.55,Ideal,F,SI1,61.8,55.0,1316,5.22,5.27,3.24
22016,22017,1.5,Premium,E,SI2,59.5,55.0,10080,7.51,7.47,4.46
12545,12546,1.23,Premium,I,SI2,62.5,60.0,5269,6.82,6.75,4.24
7051,7052,0.33,Ideal,I,VVS2,62.4,56.0,579,4.41,4.43,2.76
21047,21048,0.31,Ideal,H,VVS2,62.4,57.0,625,4.32,4.36,2.71
33083,33084,0.32,Ideal,E,VVS1,62.5,56.0,814,4.38,4.42,2.75
4953,4954,1.01,Fair,H,VS2,65.2,56.0,3733,6.23,6.19,4.05
47922,47923,0.56,Premium,G,VS1,60.5,59.0,1915,5.31,5.26,3.2
42142,42143,0.52,Premium,G,SI1,60.7,59.0,1280,5.22,5.19,3.16
52790,52791,0.6,Ideal,H,VVS1,61.0,56.0,2568,5.44,5.47,3.33
18416,18417,1.02,Premium,F,VS1,62.0,59.0,7485,6.41,6.39,3.97
42835,42836,0.41,Premium,F,VVS1,58.9,58.0,1356,4.87,4.84,2.86
4612,4613,0.9,Very Good,E,SI2,62.6,60.0,3662,6.09,6.18,3.84
38581,38582,0.36,Premium,E,VVS1,62.4,56.0,1035,4.57,4.53,2.84
51790,51791,0.7,Very Good,I,VVS2,63.4,59.0,2415,5.6,5.57,3.54
40301,40302,0.4,Premium,G,VS1,61.3,60.0,1125,4.71,4.66,2.87
53099,53100,0.71,Ideal,I,VS2,61.8,55.0,2614,5.7,5.73,3.53
30176,30177,0.29,Ideal,G,IF,61.3,56.0,721,4.26,4.29,2.62
41648,41649,0.4,Ideal,E,VVS2,61.7,55.0,1238,4.76,4.74,2.93
41681,41682,0.54,Premium,H,SI1,61.0,58.0,1240,5.27,5.23,3.2
39914,39915,0.54,Very Good,I,SI2,62.9,57.0,1105,5.18,5.21,3.27
26511,26512,2.15,Ideal,H,SI2,60.3,59.0,16146,8.34,8.41,5.05
1220,1221,0.8,Premium,E,SI2,59.9,58.0,2939,6.03,5.96,3.59
9198,9199,0.94,Premium,H,VS2,60.1,59.0,4548,6.35,6.32,3.81
33010,33011,0.31,Good,E,IF,64.2,60.0,813,4.22,4.28,2.73
52176,52177,0.7,Good,H,VVS2,61.4,64.0,2475,5.73,5.61,3.48
42825,42826,0.53,Good,E,SI1,63.1,56.0,1355,5.15,5.19,3.26
25309,25310,2.0,Premium,G,SI2,61.1,60.0,13986,8.1,8.03,4.93
42549,42550,0.52,Ideal,G,SI1,62.4,55.0,1325,5.15,5.17,3.22
6011,6012,0.91,Premium,E,SI1,61.9,61.0,3961,6.14,6.11,3.79
7050,7051,0.33,Ideal,E,SI1,62.5,55.0,579,4.42,4.45,2.77
19509,19510,1.21,Premium,F,VS2,61.3,58.0,8139,6.89,6.84,4.21
50318,50319,0.78,Ideal,G,SI2,61.9,55.0,2240,5.91,5.94,3.67
23361,23362,0.26,Very Good,G,VS1,62.4,56.0,423,4.08,4.1,2.55
43603,43604,0.31,Good,E,SI1,63.4,55.0,507,4.26,4.29,2.71
2481,2482,0.81,Premium,G,VS2,62.9,58.0,3193,5.94,5.88,3.72
49831,49832,0.84,Fair,D,SI2,64.5,60.0,2167,5.92,5.84,3.79
27942,27943,0.23,Very Good,G,VVS2,62.6,54.0,431,3.91,3.95,2.46
36328,36329,0.32,Premium,G,VVS2,62.0,55.0,936,4.42,4.39,2.73
10076,10077,0.31,Very Good,F,VS1,61.8,58.0,592,4.29,4.35,2.67
44734,44735,0.57,Very Good,G,VS2,63.0,58.0,1617,5.24,5.27,3.31
21215,21216,1.54,Ideal,G,SI2,61.7,56.0,9359,7.41,7.44,4.58
11507,11508,1.01,Ideal,I,SI1,62.5,56.0,5020,6.4,6.36,3.99
142,143,0.7,Very Good,D,VS2,61.8,55.0,2767,5.68,5.72,3.52
1056,1057,0.25,Premium,E,VS1,61.5,60.0,558,4.04,4.02,2.48
49931,49932,0.7,Ideal,H,SI1,62.0,55.0,2184,5.71,5.68,3.53
23651,23652,1.5,Very Good,E,SI1,60.8,58.0,11688,7.32,7.36,4.46
26607,26608,2.54,Very Good,H,SI2,63.5,56.0,16353,8.68,8.65,5.5
17747,17748,1.12,Ideal,D,SI1,61.2,58.0,7145,6.65,6.68,4.08
22598,22599,1.5,Very Good,H,VS1,63.4,59.0,10652,7.13,7.2,4.54
12035,12036,0.34,Premium,G,VS2,61.6,60.0,596,4.47,4.49,2.76
3179,3180,0.91,Very Good,I,VS2,63.0,58.0,3340,6.07,6.15,3.85
37499,37500,0.35,Premium,F,VS1,60.5,58.0,984,4.59,4.57,2.77
52240,52241,0.73,Ideal,I,VVS2,63.3,57.0,2485,5.77,5.73,3.64
33410,33411,0.28,Premium,E,VVS1,61.3,60.0,828,4.21,4.18,2.57
4101,4102,0.7,Very Good,F,VVS1,60.6,60.0,3536,5.67,5.7,3.45
30680,30681,0.4,Ideal,E,SI1,62.2,55.0,737,4.71,4.75,2.94
9361,9362,0.32,Very Good,D,SI1,62.8,56.0,589,4.37,4.42,2.76
29752,29753,0.45,Ideal,G,SI2,61.9,54.0,709,4.91,4.95,3.05
24906,24907,2.1,Very Good,J,VS2,61.5,60.7,13340,8.16,8.21,5.03
44411,44412,0.46,Ideal,E,VVS1,62.6,57.0,1586,4.89,4.98,3.09
38182,38183,0.41,Ideal,D,SI1,60.3,57.0,1015,4.86,4.82,2.92
42074,42075,0.6,Premium,F,SI2,59.5,61.0,1272,5.48,5.45,3.26
48936,48937,0.72,Premium,J,VS2,61.7,58.0,2043,5.77,5.67,3.53
33177,33178,0.41,Premium,E,SI2,62.8,58.0,818,4.73,4.69,2.96
22454,22455,1.56,Ideal,I,VVS2,62.0,56.0,10481,7.39,7.42,4.6
2090,2091,0.71,Ideal,E,VS2,61.6,57.0,3112,5.71,5.79,3.54
15314,15315,1.32,Good,J,VS1,62.6,62.0,6147,6.92,7.01,4.36
41711,41712,0.53,Ideal,I,VS2,62.3,57.0,1243,5.15,5.18,3.22
41205,41206,0.53,Ideal,H,SI1,62.0,54.0,1205,5.17,5.22,3.22
23435,23436,1.55,Premium,H,VS2,61.7,59.0,11428,7.44,7.4,4.58
14790,14791,1.02,Good,G,VS1,64.3,57.0,5951,6.28,6.34,4.06
18167,18168,1.03,Premium,F,VS1,62.2,57.0,7365,6.51,6.47,4.04
17181,17182,2.32,Fair,H,I1,70.5,55.0,6860,7.93,7.9,5.58
3901,3902,0.9,Good,G,SI2,62.7,59.0,3489,6.04,6.12,3.81
27638,27639,3.04,Premium,I,SI2,59.3,60.0,18559,9.51,9.46,5.62
23757,23758,1.54,Premium,G,VS2,63.0,59.0,11815,7.36,7.3,4.62
42200,42201,0.54,Ideal,G,SI2,62.7,56.0,1287,5.23,5.2,3.27
30578,30579,0.31,Ideal,D,VS2,62.1,55.0,734,4.31,4.32,2.68
25928,25929,2.03,Very Good,I,VS1,63.2,60.0,15086,8.01,7.98,5.05
48314,48315,0.25,Ideal,E,VS2,60.6,57.0,535,4.08,4.11,2.48
42887,42888,0.32,Ideal,E,IF,61.4,56.0,1359,4.38,4.42,2.7
29056,29057,0.4,Very Good,E,SI1,62.0,61.0,687,4.67,4.71,2.91
49193,49194,0.61,Good,F,VS1,61.9,60.0,2076,5.39,5.41,3.34
53454,53455,0.7,Ideal,F,VS2,62.2,55.0,2676,5.66,5.72,3.54
22012,22013,1.19,Ideal,D,VS1,61.1,57.0,10079,6.84,6.87,4.19
22618,22619,1.26,Premium,F,VS1,62.0,58.0,10669,6.95,6.88,4.29
613,614,0.73,Ideal,G,VS2,61.8,54.0,2839,5.8,5.82,3.59
34498,34499,0.32,Ideal,F,VVS1,62.0,56.0,867,4.37,4.41,2.72
35496,35497,0.41,Very Good,F,SI1,63.4,57.0,904,4.74,4.73,3.0
7534,7535,1.02,Ideal,H,SI2,60.5,56.0,4243,6.53,6.57,3.96
27329,27330,2.01,Very Good,I,VS1,62.8,59.0,17877,8.02,8.07,5.05
14928,14929,1.34,Ideal,J,VS1,62.0,57.0,6010,7.12,7.04,4.39
14406,14407,1.2,Good,I,VS1,59.6,61.0,5818,6.84,6.89,4.09
32255,32256,0.3,Ideal,E,VVS2,61.6,57.0,789,4.29,4.32,2.65
735,736,0.31,Ideal,I,VVS1,62.2,53.0,557,4.36,4.38,2.72
18525,18526,1.17,Ideal,G,VS2,61.4,56.0,7550,6.77,6.81,4.17
17949,17950,1.51,Good,I,VVS2,63.6,58.0,7255,7.29,7.26,4.63
13951,13952,1.29,Ideal,J,VS1,62.0,57.0,5676,6.92,6.98,4.31
4363,4364,0.9,Good,F,SI1,63.9,58.0,3604,6.12,6.08,3.9
30468,30469,0.31,Very Good,D,SI1,63.5,58.0,732,4.3,4.27,2.72
44162,44163,0.5,Very Good,D,VS2,61.1,58.0,1565,5.09,5.18,3.14
50865,50866,0.71,Ideal,I,SI1,61.9,55.0,2313,5.7,5.74,3.54
14920,14921,1.5,Fair,J,SI1,64.9,58.0,6006,7.09,7.03,4.58
50568,50569,0.75,Good,E,SI2,63.2,57.0,2278,5.76,5.82,3.66
27141,27142,2.02,Very Good,I,SI1,60.4,58.0,17357,8.2,8.16,4.94
14838,14839,1.2,Premium,G,VS1,62.9,59.0,5975,6.75,6.69,4.23
47123,47124,0.86,Premium,I,I1,62.6,56.0,1828,6.11,6.03,3.8
13376,13377,0.26,Very Good,D,VS2,59.6,63.0,420,4.13,4.16,2.47
20926,20927,1.0,Very Good,E,VVS2,59.5,59.0,9139,6.54,6.58,3.9
23565,23566,1.57,Premium,H,VS2,61.0,59.0,11575,7.54,7.5,4.59
53161,53162,0.81,Ideal,J,VS1,62.3,57.0,2626,5.93,5.98,3.71
19767,19768,1.65,Ideal,J,SI1,62.5,56.0,8334,7.59,7.54,4.73
44832,44833,0.51,Premium,E,SI1,61.3,59.0,1624,5.15,5.13,3.15
15883,15884,1.0,Premium,F,VS2,62.4,60.0,6352,6.35,6.38,3.97
28581,28582,0.3,Premium,G,VS2,60.8,61.0,675,4.34,4.31,2.63
25637,25638,1.13,Ideal,E,VVS1,60.6,57.0,14525,6.72,6.77,4.09
18819,18820,1.54,Premium,G,SI2,59.4,60.0,7707,7.49,7.52,4.46
14841,14842,1.24,Ideal,I,SI1,61.1,60.0,5976,6.94,6.91,4.23
37595,37596,0.23,Very Good,E,VVS2,63.8,57.0,485,3.88,3.9,2.48
13202,13203,1.06,Very Good,H,VS1,62.2,59.0,5456,6.47,6.52,4.04
14177,14178,1.17,Ideal,H,SI1,62.1,54.0,5751,6.83,6.77,4.22
36351,36352,0.4,Premium,H,VS1,62.7,59.0,938,4.71,4.63,2.93
8579,8580,1.01,Good,E,SI2,60.7,62.0,4436,6.43,6.49,3.92
33180,33181,0.41,Very Good,E,SI2,63.2,58.0,818,4.72,4.68,2.97
42751,42752,0.51,Ideal,G,VS2,62.0,56.0,1343,5.11,5.18,3.19
31404,31405,0.3,Ideal,G,VVS1,61.7,54.0,764,4.32,4.34,2.67
28951,28952,0.31,Good,I,VS2,63.1,54.0,435,4.31,4.34,2.73
718,719,0.97,Ideal,F,I1,60.7,56.0,2856,6.43,6.41,3.9
44151,44152,0.5,Ideal,D,SI1,60.9,57.0,1563,5.11,5.13,3.12
10376,10377,1.2,Premium,J,SI1,58.5,61.0,4778,6.95,6.89,4.05
48482,48483,0.51,Good,E,VVS2,62.0,60.5,1980,5.05,5.08,3.15
36438,36439,0.31,Ideal,D,VS2,61.7,55.0,942,4.4,4.35,2.7
13968,13969,1.01,Very Good,H,VS1,60.9,55.0,5687,6.53,6.57,3.99
45922,45923,0.53,Ideal,E,VS2,61.4,56.0,1721,5.21,5.24,3.21
31536,31537,0.31,Ideal,E,VVS2,61.7,56.0,766,4.37,4.38,2.7
11533,11534,1.21,Ideal,F,SI2,61.5,57.0,5028,6.88,6.82,4.21
39612,39613,0.35,Ideal,I,VS2,59.8,57.0,491,4.59,4.6,2.75
53340,53341,0.7,Very Good,D,SI1,60.3,60.0,2656,5.74,5.77,3.47
12343,12344,1.01,Very Good,F,VS2,63.1,57.0,5226,6.39,6.29,4.0
43672,43673,0.5,Very Good,D,SI1,58.9,61.0,1436,5.16,5.19,3.05
25554,25555,1.62,Ideal,F,VS1,61.7,55.0,14386,7.58,7.53,4.66
41339,41340,0.42,Ideal,E,VVS2,61.8,56.0,1216,4.78,4.8,2.96
37878,37879,0.38,Very Good,D,VS2,63.1,55.0,1005,4.6,4.59,2.9
26466,26467,2.17,Good,H,SI2,58.9,62.0,16036,8.48,8.52,5.01
6712,6713,0.27,Very Good,D,VS1,62.2,58.0,413,4.14,4.15,2.58
14775,14776,1.01,Ideal,G,VS2,62.4,56.0,5946,6.42,6.39,4.0
39595,39596,0.34,Premium,E,VVS1,61.7,58.0,1084,4.48,4.43,2.75
14377,14378,0.3,Ideal,G,VS1,61.8,54.0,605,4.29,4.32,2.66
31120,31121,0.34,Good,E,VS2,57.8,64.0,754,4.6,4.61,2.66
30035,30036,0.39,Good,F,SI1,63.6,58.0,718,4.6,4.65,2.94
4398,4399,0.31,Ideal,D,SI1,62.1,56.0,571,4.33,4.37,2.7
4659,4660,1.17,Premium,H,I1,62.8,58.0,3669,6.71,6.69,4.21
38004,38005,0.43,Premium,G,VS1,61.8,59.0,1008,4.88,4.83,3.0
9203,9204,0.91,Fair,E,VS2,61.8,66.0,4550,6.11,6.09,3.77
5934,5935,0.9,Fair,D,SI1,66.1,55.0,3945,5.98,5.92,3.93
5507,5508,1.01,Premium,F,SI2,61.7,58.0,3846,6.46,6.41,3.97
30229,30230,0.33,Ideal,E,VS2,61.9,56.0,723,4.4,4.45,2.74
7823,7824,1.0,Premium,D,SI2,60.8,60.0,4295,6.45,6.41,3.91
27568,27569,2.0,Good,F,SI1,63.0,61.0,18376,7.85,7.99,4.99
29017,29018,0.31,Ideal,G,VVS2,61.8,54.0,687,4.36,4.38,2.7
43698,43699,0.5,Very Good,D,SI1,62.0,60.0,1436,5.08,5.12,3.16
1598,1599,1.2,Fair,I,I1,62.2,66.0,3011,6.77,6.7,4.2
47042,47043,0.57,Premium,G,VS1,60.2,57.0,1819,5.42,5.37,3.25
45333,45334,0.51,Premium,E,VS2,62.5,59.0,1662,5.09,5.08,3.18
32572,32573,0.4,Premium,E,VS1,61.5,58.0,800,4.73,4.76,2.92
36407,36408,0.31,Ideal,E,VS1,61.6,57.0,942,4.35,4.32,2.67
32506,32507,0.4,Fair,G,VS1,57.1,64.0,798,4.88,4.9,2.79
42198,42199,0.56,Ideal,G,SI1,63.0,55.0,1287,5.26,5.22,3.3
21752,21753,1.12,Ideal,G,VVS2,61.6,55.0,9820,6.68,6.74,4.13
45995,45996,0.53,Very Good,G,VVS2,60.5,59.0,1724,5.24,5.29,3.19
8779,8780,1.0,Very Good,H,SI1,63.4,56.0,4469,6.37,6.34,4.03
2657,2658,0.77,Premium,E,VS2,60.5,59.0,3234,5.98,5.92,3.6
16712,16713,0.31,Ideal,H,VVS2,61.4,56.0,609,4.38,4.41,2.7
17909,17910,1.03,Very Good,F,VS1,62.2,57.0,7233,6.47,6.51,4.04
36036,36037,0.41,Ideal,G,SI1,62.6,54.0,923,4.78,4.74,2.98
18516,18517,1.08,Ideal,E,VS2,62.0,54.0,7548,6.62,6.57,4.09
31006,31007,0.29,Ideal,F,IF,61.9,56.0,748,4.27,4.3,2.65
23294,23295,1.26,Ideal,E,VS1,61.2,56.0,11323,6.97,6.93,4.25
10042,10043,0.26,Very Good,G,VS1,62.1,56.0,418,4.07,4.11,2.54
15841,15842,1.31,Ideal,J,SI1,62.5,56.0,6337,6.95,7.04,4.37
53047,53048,0.71,Ideal,I,VVS1,62.3,56.0,2606,5.7,5.73,3.56
10087,10088,1.0,Good,F,SI1,63.3,61.0,4712,6.29,6.31,3.99
11743,11744,1.11,Ideal,I,VS2,62.2,56.0,5073,6.69,6.62,4.14
51897,51898,0.71,Very Good,H,VS2,62.6,56.0,2432,5.68,5.72,3.57
40350,40351,0.43,Ideal,G,VVS2,60.1,57.0,1129,4.91,4.88,2.94
13640,13641,1.08,Premium,H,VS1,59.6,59.0,5582,6.72,6.66,3.99
8751,8752,0.9,Very Good,H,VS1,61.7,58.0,4466,6.18,6.26,3.84
4051,4052,0.35,Ideal,H,VS2,61.2,56.0,571,4.54,4.55,2.78
30432,30433,0.32,Ideal,G,VVS2,62.0,55.0,730,4.4,4.44,2.74
18190,18191,1.04,Ideal,G,VS1,61.2,58.0,7375,6.5,6.53,3.99
10716,10717,0.31,Very Good,D,SI2,63.1,54.0,593,4.38,4.33,2.75
9109,9110,1.06,Ideal,I,VS2,62.3,56.0,4530,6.56,6.51,4.07
40714,40715,0.41,Very Good,E,VS1,63.4,55.0,1160,4.7,4.73,2.99
9870,9871,0.7,Very Good,E,IF,60.3,59.0,4679,5.72,5.76,3.46
15579,15580,1.03,Ideal,D,SI1,61.9,57.0,6250,6.52,6.54,4.04
52488,52489,0.73,Very Good,E,SI1,63.3,60.0,2523,5.65,5.7,3.59
19951,19952,1.53,Premium,H,SI2,62.5,59.0,8499,7.4,7.36,4.61
1890,1891,0.76,Ideal,I,VS2,61.7,56.0,3075,5.87,5.9,3.63
23604,23605,1.54,Premium,H,VS2,62.1,62.0,11632,7.38,7.31,4.56
44268,44269,0.52,Premium,E,VS2,62.5,60.0,1576,5.1,5.14,3.2
43077,43078,0.6,Good,I,VS1,60.1,62.0,1378,5.42,5.49,3.28
20801,20802,1.5,Very Good,I,VS1,62.8,58.0,9033,7.17,7.23,4.52
17845,17846,1.01,Ideal,E,VS2,61.6,57.0,7198,6.43,6.46,3.97
44438,44439,0.51,Ideal,E,VS2,61.7,53.0,1590,5.18,5.2,3.2
36623,36624,0.24,Very Good,E,VVS2,57.7,61.0,478,4.12,4.13,2.38
47551,47552,0.51,Premium,D,VS1,59.5,57.0,1873,5.24,5.21,3.11
52444,52445,0.53,Premium,E,VVS1,60.8,59.0,2514,5.23,5.17,3.16
49316,49317,0.32,Premium,G,SI2,61.6,59.0,540,4.38,4.35,2.69
18181,18182,1.2,Very Good,G,VS2,63.1,57.0,7371,6.69,6.74,4.24
18602,18603,1.12,Ideal,F,VS2,61.9,55.0,7589,6.68,6.73,4.15
19301,19302,1.14,Ideal,F,VS2,61.4,56.0,8017,6.73,6.78,4.14
44480,44481,0.55,Ideal,E,VS2,60.3,57.0,1596,5.28,5.3,3.19
45882,45883,0.55,Ideal,F,SI1,61.7,56.0,1718,5.3,5.26,3.25
40272,40273,0.23,Ideal,F,VS1,61.9,56.0,493,3.94,3.96,2.44
29678,29679,0.39,Ideal,H,VS2,62.3,55.0,707,4.67,4.7,2.92
8332,8333,1.16,Good,F,SI2,63.7,63.0,4395,6.55,6.63,4.2
45576,45577,0.52,Ideal,E,VS2,61.7,55.0,1689,5.16,5.21,3.2
2444,2445,0.96,Premium,J,SI1,62.9,59.0,3187,6.3,6.22,3.94
16229,16230,0.94,Ideal,G,VVS1,62.4,58.0,6488,6.22,6.27,3.9
4794,4795,1.5,Good,I,I1,63.7,61.0,3696,7.22,7.1,4.57
11717,11718,0.4,Good,I,SI1,63.2,55.0,596,4.68,4.72,2.97
21903,21904,1.59,Ideal,I,VS2,61.1,55.0,9972,7.54,7.48,4.59
18774,18775,1.02,Premium,F,VS1,62.8,58.0,7677,6.44,6.4,4.03
13028,13029,0.26,Ideal,H,IF,61.1,57.0,600,4.16,4.12,2.53
44182,44183,0.56,Ideal,D,SI2,60.0,58.0,1568,5.42,5.38,3.24
45419,45420,0.55,Ideal,E,SI1,61.7,56.0,1668,5.29,5.24,3.25
29019,29020,0.31,Ideal,G,VVS2,60.9,56.0,687,4.4,4.43,2.69
24778,24779,2.02,Good,H,SI2,59.0,61.0,13144,8.26,8.31,4.89
52881,52882,0.73,Ideal,H,VS2,62.0,54.0,2583,5.79,5.83,3.6
43450,43451,0.5,Very Good,E,SI1,63.3,58.0,1415,5.03,4.99,3.17
38301,38302,0.35,Very Good,D,SI2,62.4,57.0,487,4.47,4.5,2.8
2319,2320,0.85,Ideal,E,SI1,61.8,54.0,3167,6.1,6.14,3.78
22362,22363,0.31,Premium,H,VS2,61.3,60.0,628,4.36,4.32,2.66
20152,20153,1.22,Ideal,G,VS1,62.5,57.0,8608,6.82,6.77,4.25
50818,50819,0.71,Ideal,I,VVS2,62.4,54.0,2308,5.72,5.75,3.58
52858,52859,0.72,Ideal,G,VS2,62.7,56.0,2578,5.72,5.76,3.6
47347,47348,0.5,Ideal,D,VS2,61.9,57.0,1845,5.09,5.06,3.14
13525,13526,1.0,Premium,E,SI1,61.9,60.0,5544,6.46,6.37,3.97
18742,18743,1.1,Ideal,F,VS2,62.2,57.0,7658,6.62,6.59,4.11
705,706,0.91,Good,J,VS2,64.2,58.0,2854,6.12,6.09,3.92
18530,18531,1.0,Fair,E,VVS2,56.8,58.0,7553,6.59,6.64,3.76
34853,34854,0.3,Ideal,G,VVS2,61.5,57.0,878,4.33,4.29,2.65
